word,meaning,pos,base_form,past,past_participle,present_participle,transitivity,plural,plural_rule,required_prepositions,usage_patterns,example_1,example_zh_1,example_2,example_zh_2,example_3,example_zh_3,example_4,example_zh_4,example_5,example_zh_5,grade,semester,lesson,tags,note
am,是；在；存在,verb,be,was,been,being,不及物／連綴動詞,,,be from; be in; be at; be with,I am...; I am from...; I am in/at...; I am with...,I am a student.,我是一名學生。,I am from Taiwan.,我來自台灣。,I am in the classroom now.,我現在在教室裡。,I am happy today.,我今天很高興。,I am with my friend.,我和我的朋友在一起。,七年級,上學期,Starter,be動詞;連綴動詞,am 只和 I 搭配；be 動詞後可接名詞、形容詞、地點或介系詞片語。
are,是；在；存在,verb,be,were,been,being,不及物／連綴動詞,,,be from; be in; be at; be with,You are...; We are...; They are...; plural noun + are...,You are my friend.,你是我的朋友。,We are in the same class.,我們在同一班。,They are from Japan.,他們來自日本。,The books are on the desk.,那些書在桌上。,Are you ready?,你準備好了嗎？,七年級,上學期,Starter,be動詞;連綴動詞,are 可搭配 you / we / they 或複數主詞。
is,是；在；存在,verb,be,was,been,being,不及物／連綴動詞,,,be from; be in; be at; be with,He is...; She is...; It is...; singular noun + is...,He is my brother.,他是我的哥哥／弟弟。,She is in the library.,她在圖書館。,It is a small dog.,牠是一隻小狗。,My school is near the park.,我的學校在公園附近。,Is this your book?,這是你的書嗎？,七年級,上學期,Starter,be動詞;連綴動詞,is 搭配 he / she / it 或單數主詞。
what,什麼,pronoun/determiner,,,,,,,,what about; what time; what color; what day,What is...?; What are...?; What about...?,What is your name?,你的名字是什麼？,What are these?,這些是什麼？,What time is it?,現在幾點？,What color is your bag?,你的包包是什麼顏色？,What about you?,你呢？,七年級,上學期,Starter,疑問詞;常用句型,what 可當疑問代名詞或限定詞，常用於詢問事物、時間、顏色、日期等。
my,我的,possessive adjective,,,,,,,,my + noun,my name; my book; my family,My name is Emma.,我的名字是 Emma。,This is my book.,這是我的書。,My father is a teacher.,我的爸爸是一位老師。,My bag is on the chair.,我的包包在椅子上。,My English teacher is nice.,我的英文老師很好。,七年級,上學期,Starter,所有格形容詞,my 後面通常接名詞，表示「我的……」。
your,你的；你們的,possessive adjective,,,,,,,,your + noun,your name; your school; your turn,What is your name?,你的名字是什麼？,Is this your pencil?,這是你的鉛筆嗎？,Your school is big.,你的學校很大。,Please open your book.,請打開你的書。,It is your turn.,輪到你了。,七年級,上學期,Starter,所有格形容詞,your 可表示「你的」或「你們的」，要看上下文。
his,他的,possessive adjective/pronoun,,,,,,,,his + noun; be his,his book; his father; his idea,His name is Jack.,他的名字是 Jack。,This is his bike.,這是他的腳踏車。,His mother is a doctor.,他的媽媽是一位醫生。,The red pen is his.,那枝紅筆是他的。,His English is good.,他的英文很好。,七年級,上學期,Starter,所有格;代名詞,his 可接名詞，也可單獨當所有格代名詞，例如 The book is his.
her,她的；她,possessive adjective/object pronoun,,,,,,,,her + noun; to her; with her,her book; ask her; help her,Her name is Lisa.,她的名字是 Lisa。,This is her desk.,這是她的書桌。,I know her.,我認識她。,Please give the book to her.,請把書給她。,Her sister is twelve years old.,她的妹妹／姐姐十二歲。,七年級,上學期,Starter,所有格;受格代名詞,her 可表示「她的」，也可當受格「她」。
its,它的,possessive adjective,,,,,,,,its + noun,its name; its color; its tail,"The dog is small, but its eyes are big.",那隻狗很小，但牠的眼睛很大。,The cat is washing its face.,那隻貓正在洗牠的臉。,The school is famous for its library.,這所學校以它的圖書館聞名。,Look at the bird and its nest.,看看那隻鳥和牠的巢。,Its color is blue.,它的顏色是藍色。,七年級,上學期,Starter,所有格形容詞,its 表示「它的」，不要和 it's（it is / it has 的縮寫）混淆。
how,如何；多麼；怎樣,adverb,,,,,,,,how old; how many; how much; how about; how to,How are you?; How old...?; How many...?,How are you?,你好嗎？,How old are you?,你幾歲？,How many books do you have?,你有幾本書？,How much is this bag?,這個包包多少錢？,How about some tea?,來點茶如何？,七年級,上學期,Starter,疑問副詞;常用句型,how 常用來詢問方式、狀態、年齡、數量或程度。
zero,零,number/noun/adjective,,,,,,zeros / zeroes,規則加 s；zeroes 也可見,,number + plural noun; the number is...; in one's twenties/thirties,I have zero pencils.,我有零枝鉛筆。,The answer is zero.,答案是零。,Please write the number zero.,請寫出數字零。,,,,,七年級,上學期,Starter,數字;可作名詞或形容詞,zero 可表示數字 0；當名詞複數常見 zeros，也可寫 zeroes。
one,一,number/noun/adjective,,,,,,ones,規則加 s,,number + plural noun; the number is...; in one's twenties/thirties,I have one pencils.,我有一枝鉛筆。,The answer is one.,答案是一。,Please write the number one.,請寫出數字一。,,,,,七年級,上學期,Starter,數字;可作名詞或形容詞,one 可作數字，也可作代名詞，如 this one。
two,二,number/noun/adjective,,,,,,twos,規則加 s,,number + plural noun; the number is...; in one's twenties/thirties,I have two pencils.,我有二枝鉛筆。,The answer is two.,答案是二。,Please write the number two.,請寫出數字二。,,,,,七年級,上學期,Starter,數字;可作名詞或形容詞,two 作名詞時複數為 twos。
three,三,number/noun/adjective,,,,,,threes,規則加 s,,number + plural noun; the number is...; in one's twenties/thirties,I have three pencils.,我有三枝鉛筆。,The answer is three.,答案是三。,Please write the number three.,請寫出數字三。,,,,,七年級,上學期,Starter,數字;可作名詞或形容詞,three 作名詞時複數為 threes。
four,四,number/noun/adjective,,,,,,fours,規則加 s,,number + plural noun; the number is...; in one's twenties/thirties,I have four pencils.,我有四枝鉛筆。,The answer is four.,答案是四。,Please write the number four.,請寫出數字四。,,,,,七年級,上學期,Starter,數字;可作名詞或形容詞,four 作名詞時複數為 fours。
five,五,number/noun/adjective,,,,,,fives,規則加 s,,number + plural noun; the number is...; in one's twenties/thirties,I have five pencils.,我有五枝鉛筆。,The answer is five.,答案是五。,Please write the number five.,請寫出數字五。,,,,,七年級,上學期,Starter,數字;可作名詞或形容詞,five 作名詞時複數為 fives。
