word,meaning,pos,pos_en,pos_zh,pos_note,base_form,past,past_participle,present_participle,transitivity,plural,plural_rule,required_prepositions,usage_patterns,example_1,example_zh_1,example_2,example_zh_2,example_3,example_zh_3,example_4,example_zh_4,example_5,example_zh_5,grade,semester,lesson,tags,note,word_question_context,meaning_option_1,meaning_option_2,meaning_option_3,word_option_1,word_option_2,word_option_3,past_option_1,past_option_2,past_option_3,past_participle_option_1,past_participle_option_2,past_participle_option_3,present_participle_option_1,present_participle_option_2,present_participle_option_3,verb_change_type,verb_change_note,verb_change_option_1,verb_change_option_2,verb_change_option_3,cloze_1,cloze_answer_1,cloze_hint_1,cloze_2,cloze_answer_2,cloze_hint_2,cloze_3,cloze_answer_3,cloze_hint_3,cloze_4,cloze_answer_4,cloze_hint_4,cloze_5,cloze_answer_5,cloze_hint_5
am,是；在；存在,verb（動詞）,verb,動詞,表示動作或狀態，例如 be 表示「是、在」。,be,was,been,being,不及物／連綴動詞,,,be from; be in; be at; be with,I am...; I am from...; I am in/at...; I am with...,I am a student.,我是一名學生。,I am from Taiwan.,我來自台灣。,I am in the classroom now.,我現在在教室裡。,I am happy today.,我今天很高興。,I am with my friend.,我和我的朋友在一起。,七年級,上學期,Starter,be動詞;連綴動詞,am 只和 I 搭配；be 動詞後可接名詞、形容詞、地點或介系詞片語。,I ___ a student.（主詞 I 搭配）,我的,什麼,如何；怎樣,are,is,be,were,been,being,was,were,being,been,was,beeing,不規則變化：be 動詞,am 是 be 動詞的現在式，原形 be，過去式依主詞為 was / were，過去分詞 been。,規則變化：直接加 -ed,規則變化：子音 + y 改 ied,規則變化：雙寫字尾加 -ed,I a_ a student.,am,a 開頭，共 2 個字母,I a_ from Taiwan.,am,a 開頭，共 2 個字母,I a_ in the classroom now.,am,a 開頭，共 2 個字母,I a_ happy today.,am,a 開頭，共 2 個字母,I a_ with my friend.,am,a 開頭，共 2 個字母
are,是；在；存在,verb（動詞）,verb,動詞,表示動作或狀態，例如 be 表示「是、在」。,be,were,been,being,不及物／連綴動詞,,,be from; be in; be at; be with,You are...; We are...; They are...; plural noun + are...,You are my friend.,你是我的朋友。,We are in the same class.,我們在同一班。,They are from Japan.,他們來自日本。,The books are on the desk.,那些書在桌上。,Are you ready?,你準備好了嗎？,七年級,上學期,Starter,be動詞;連綴動詞,are 可搭配 you / we / they 或複數主詞。,You / We / They ___ students.（主詞 you / we / they 搭配）,我的,什麼,如何；怎樣,am,is,be,was,been,being,was,were,being,been,was,beeing,不規則變化：be 動詞,are 是 be 動詞的現在式，原形 be，過去式依主詞為 was / were，過去分詞 been。,規則變化：直接加 -ed,規則變化：子音 + y 改 ied,規則變化：雙寫字尾加 -ed,You a__ my friend.,are,a 開頭，共 3 個字母,We a__ in the same class.,are,a 開頭，共 3 個字母,They a__ from Japan.,are,a 開頭，共 3 個字母,The books a__ on the desk.,are,a 開頭，共 3 個字母,A__ you ready?,are,a 開頭，共 3 個字母
is,是；在；存在,verb（動詞）,verb,動詞,表示動作或狀態，例如 be 表示「是、在」。,be,was,been,being,不及物／連綴動詞,,,be from; be in; be at; be with,He is...; She is...; It is...; singular noun + is...,He is my brother.,他是我的哥哥／弟弟。,She is in the library.,她在圖書館。,It is a small dog.,牠是一隻小狗。,My school is near the park.,我的學校在公園附近。,Is this your book?,這是你的書嗎？,七年級,上學期,Starter,be動詞;連綴動詞,is 搭配 he / she / it 或單數主詞。,He / She / It ___ here.（主詞 he / she / it 搭配）,我的,什麼,如何；怎樣,am,are,be,were,been,being,was,were,being,been,was,beeing,不規則變化：be 動詞,is 是 be 動詞的現在式，原形 be，過去式依主詞為 was / were，過去分詞 been。,規則變化：直接加 -ed,規則變化：子音 + y 改 ied,規則變化：雙寫字尾加 -ed,He i_ my brother.,is,i 開頭，共 2 個字母,She i_ in the library.,is,i 開頭，共 2 個字母,It i_ a small dog.,is,i 開頭，共 2 個字母,My school i_ near the park.,is,i 開頭，共 2 個字母,I_ this your book?,is,i 開頭，共 2 個字母
what,什麼,pronoun/determiner（代名詞／限定詞）,pronoun/determiner,代名詞／限定詞,可用來問「什麼」，也可放在名詞前，例如 what color。,,,,,,,,what about; what time; what color; what day,What is...?; What are...?; What about...?,What is your name?,你的名字是什麼？,What are these?,這些是什麼？,What time is it?,現在幾點？,What color is your bag?,你的包包是什麼顏色？,What about you?,你呢？,七年級,上學期,Starter,疑問詞;常用句型,what 可當疑問代名詞或限定詞，常用於詢問事物、時間、顏色、日期等。,___ is your name?,如何；怎樣,我的,你的,how,who,where,,,,,,,,,,,,,,,W___ is your name?,what,w 開頭，共 4 個字母,W___ are these?,what,w 開頭，共 4 個字母,W___ time is it?,what,w 開頭，共 4 個字母,W___ color is your bag?,what,w 開頭，共 4 個字母,W___ about you?,what,w 開頭，共 4 個字母
my,我的,possessive adjective（物主形容詞）,possessive adjective,物主形容詞,放在名詞前，表示「誰的」，例如 my book、your name。,,,,,,,,my + noun,my name; my book; my family,My name is Emma.,我的名字是 Emma。,This is my book.,這是我的書。,My father is a teacher.,我的爸爸是一位老師。,My bag is on the chair.,我的包包在椅子上。,My English teacher is nice.,我的英文老師很好。,七年級,上學期,Starter,所有格形容詞,my 後面通常接名詞，表示「我的……」。,This is ___ book.（我的）,你的；你們的,他的,她的；她,your,his,her,,,,,,,,,,,,,,,M_ name is Emma.,my,m 開頭，共 2 個字母,This is m_ book.,my,m 開頭，共 2 個字母,M_ father is a teacher.,my,m 開頭，共 2 個字母,M_ bag is on the chair.,my,m 開頭，共 2 個字母,M_ English teacher is nice.,my,m 開頭，共 2 個字母
your,你的；你們的,possessive adjective（物主形容詞）,possessive adjective,物主形容詞,放在名詞前，表示「誰的」，例如 my book、your name。,,,,,,,,your + noun,your name; your school; your turn,What is your name?,你的名字是什麼？,Is this your pencil?,這是你的鉛筆嗎？,Your school is big.,你的學校很大。,Please open your book.,請打開你的書。,It is your turn.,輪到你了。,七年級,上學期,Starter,所有格形容詞,your 可表示「你的」或「你們的」，要看上下文。,Is this ___ pencil?（你的）,我的,他的,她的；她,my,his,her,,,,,,,,,,,,,,,What is y___ name?,your,y 開頭，共 4 個字母,Is this y___ pencil?,your,y 開頭，共 4 個字母,Y___ school is big.,your,y 開頭，共 4 個字母,Please open y___ book.,your,y 開頭，共 4 個字母,It is y___ turn.,your,y 開頭，共 4 個字母
his,他的,possessive adjective/pronoun（物主形容詞／所有格代名詞）,possessive adjective/pronoun,物主形容詞／所有格代名詞,his 可放在名詞前，也可單獨表示「他的」。,,,,,,,,his + noun; be his,his book; his father; his idea,His name is Jack.,他的名字是 Jack。,This is his bike.,這是他的腳踏車。,His mother is a doctor.,他的媽媽是一位醫生。,The red pen is his.,那枝紅筆是他的。,His English is good.,他的英文很好。,七年級,上學期,Starter,所有格;代名詞,his 可接名詞，也可單獨當所有格代名詞，例如 The book is his.,This is ___ bike.（他的）,她的；她,我的,你的；你們的,her,my,your,,,,,,,,,,,,,,,H__ name is Jack.,his,h 開頭，共 3 個字母,This is h__ bike.,his,h 開頭，共 3 個字母,H__ mother is a doctor.,his,h 開頭，共 3 個字母,The red pen is h__.,his,h 開頭，共 3 個字母,H__ English is good.,his,h 開頭，共 3 個字母
her,她的；她,possessive adjective/object pronoun（物主形容詞／受格代名詞）,possessive adjective/object pronoun,物主形容詞／受格代名詞,her 可表示「她的」，也可作受格「她」。,,,,,,,,her + noun; to her; with her,her book; ask her; help her,Her name is Lisa.,她的名字是 Lisa。,This is her desk.,這是她的書桌。,I know her.,我認識她。,Please give the book to her.,請把書給她。,Her sister is twelve years old.,她的妹妹／姐姐十二歲。,七年級,上學期,Starter,所有格;受格代名詞,her 可表示「她的」，也可當受格「她」。,This is ___ desk.（她的）,他的,我的,你的；你們的,his,my,your,,,,,,,,,,,,,,,H__ name is Lisa.,her,h 開頭，共 3 個字母,This is h__ desk.,her,h 開頭，共 3 個字母,I know h__.,her,h 開頭，共 3 個字母,Please give the book to h__.,her,h 開頭，共 3 個字母,H__ sister is twelve years old.,her,h 開頭，共 3 個字母
its,它的,possessive adjective（物主形容詞）,possessive adjective,物主形容詞,放在名詞前，表示「誰的」，例如 my book、your name。,,,,,,,,its + noun,its name; its color; its tail,"The dog is small, but its eyes are big.",那隻狗很小，但牠的眼睛很大。,The cat is washing its face.,那隻貓正在洗牠的臉。,The school is famous for its library.,這所學校以它的圖書館聞名。,Look at the bird and its nest.,看看那隻鳥和牠的巢。,Its color is blue.,它的顏色是藍色。,七年級,上學期,Starter,所有格形容詞,its 表示「它的」，不要和 it's（it is / it has 的縮寫）混淆。,"The dog is small, but ___ eyes are big.（牠的）",他的,她的；她,我的,his,her,it's,,,,,,,,,,,,,,,"The dog is small, but i__ eyes are big.",its,i 開頭，共 3 個字母,The cat is washing i__ face.,its,i 開頭，共 3 個字母,The school is famous for i__ library.,its,i 開頭，共 3 個字母,Look at the bird and i__ nest.,its,i 開頭，共 3 個字母,I__ color is blue.,its,i 開頭，共 3 個字母
how,如何；多麼；怎樣,adverb（副詞）,adverb,副詞,用來問方法、狀態、程度或數量，例如 how old、how many。,,,,,,,,how old; how many; how much; how about; how to,How are you?; How old...?; How many...?,How are you?,你好嗎？,How old are you?,你幾歲？,How many books do you have?,你有幾本書？,How much is this bag?,這個包包多少錢？,How about some tea?,來點茶如何？,七年級,上學期,Starter,疑問副詞;常用句型,how 常用來詢問方式、狀態、年齡、數量或程度。,___ are you?,什麼,我的,你的,what,who,where,,,,,,,,,,不規則變化,how 的三態需要特別記憶。,規則變化：直接加 -ed,規則變化：子音 + y 改 ied,規則變化：雙寫字尾加 -ed,H__ are you?,how,h 開頭，共 3 個字母,H__ old are you?,how,h 開頭，共 3 個字母,H__ many books do you have?,how,h 開頭，共 3 個字母,H__ much is this bag?,how,h 開頭，共 3 個字母,H__ about some tea?,how,h 開頭，共 3 個字母
